Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
комната с частью вспомогательных помещений	59:01:4410034:642	г Пермь, ул Куйбышева, д. 7, 96	28.6 кв.м.	1 079 228 руб.
нежилое помещение	59:01:4410035:540	г Пермь, ул Куйбышева, д. 7	994.2 кв.м.	28 777 119 руб.
квартира	59:01:4410035:591	г Пермь, ул КУЙБЫШЕВА, д. 7, 32	47.8 кв.м.	1 891 202 руб.
квартира	59:01:4410035:554	г Пермь, ул Куйбышева, д. 7, 10а	61.5 кв.м.	1 975 872 руб.
комната	59:01:4410034:641	г Пермь, ул Куйбышева, д. 7, 84	13.5 кв.м.	509 426 руб.
квартира	59:01:4410035:565	г Пермь, ул Куйбышева, д. 7, 41	46.5 кв.м.	1 855 979 руб.
квартира	59:01:4410035:570	г Пермь, ул Куйбышева, д. 7, 59	11.1 кв.м.	608 056 руб.
квартира	59:01:4410035:653	г Пермь, ул Куйбышева, д. 7, 45	97.5 кв.м.	2 973 494 руб.
комната	59:01:4410034:502	г Пермь, ул Куйбышева, д. 7, 29	26.7 кв.м.	1 007 531 руб.
нежилые помещения	59:01:4410034:580	г Пермь, ул Куйбышева, д. 7	110.7 кв.м.	5 144 984 руб.
тепловая трасса от т.а до т.б	59:01:4410034:378	г Пермь, ул Куйбышева, д. 7	0 кв.м.	0 руб.
 комнаты	59:01:4410034:599	г Пермь, ул Куйбышева, д. 7, 53	45.9 кв.м.	1 732 048 руб.
комната	59:01:4410035:1042	г Пермь, ул Куйбышева, д. 7, 79	12.2 кв.м.	501 298 руб.
комната	59:01:4410035:1019	г Пермь, ул Куйбышева, д. 7, 63	16.7 кв.м.	686 204 руб.
	59:01:4410035:1070	г Пермь, ул Куйбышева, д. 7, 31	10.3 кв.м.	330 093 руб.
комната в -комнатной квартире	59:01:4410034:589	г Пермь, ул Куйбышева, д. 7, 26	42.3 кв.м.	1 596 202 руб.
квартира	59:01:4410035:551	г Пермь, ул Куйбышева, д. 7, 2	75.7 кв.м.	2 550 057 руб.
комната	59:01:4410034:635	г Пермь, ул Куйбышева, д. 7, 27	24.3 кв.м.	916 967 руб.
квартира	59:01:4410035:560	г Пермь, ул Куйбышева, д. 7, 34	66.2 кв.м.	2 343 603 руб.
квартира	59:01:4410035:589	г Пермь, ул Куйбышева, д. 7, 25	183.4 кв.м.	4 243 562 руб.
комната	59:01:4410035:1029	г Пермь, ул Куйбышева, д. 7, 115	14.4 кв.м.	591 697 руб.
квартира	59:01:4410035:608	г Пермь, ул Куйбышева, д. 7, 12	163.1 кв.м.	3 982 754 руб.
квартира	59:01:4410035:564	г Пермь, ул Куйбышева, д. 7, 40	54.2 кв.м.	2 057 730 руб.
комната	59:01:4410035:1018	г Пермь, ул Куйбышева, д. 7, 62	11.5 кв.м.	472 535 руб.
квартира	59:01:4410035:636	г Пермь, ул Куйбышева, д. 7, 118	14.3 кв.м.	754 612 руб.
комната	59:01:0000000:72589	г Пермь, ул Куйбышева, д. 7, 103в	19.9 кв.м.	88 174 руб.
комната в -комнатной квартире	59:01:0000000:69904	г Пермь, ул Куйбышева, д. 7, 1	23.7 кв.м.	105 011 руб.
квартира	59:01:4410035:561	г Пермь, ул Куйбышева, д. 7, 38	54.5 кв.м.	1 086 237 руб.
-комнаты в -комнатной квартире	59:01:4410034:596	г Пермь, ул Куйбышева, д. 7, 45	40.3 кв.м.	1 520 731 руб.
 комнаты в -комнатной квартире	59:01:4410034:600	г Пермь, ул Куйбышева, д. 7, 53	55.1 кв.м.	2 079 213 руб.
квартира	59:01:4410035:601	г Пермь, ул Куйбышева, д. 7, 98	20.5 кв.м.	1 012 783 руб.
квартира	59:01:4410035:555	г Пермь, ул Куйбышева, д. 7, 16	90.5 кв.м.	2 844 126 руб.
квартира	59:01:4410035:637	г Пермь, ул Куйбышева, д. 7, 119	13.1 кв.м.	700 839 руб.
 комнаты	59:01:4410034:457	г Пермь, ул Куйбышева, д. 7, 82,83	23.4 кв.м.	883 005 руб.
квартира	59:01:4410035:577	г Пермь, ул Куйбышева, д. 7, 68	12.3 кв.м.	664 215 руб.
участок	59:01:5110062:3	г Пермь, п Новые Ляды, ул Куйбышева, д. 7	1169 кв.м.	1 477 429 руб.
квартира	59:01:4410035:592	г Пермь, ул Куйбышева, д. 7, 33	73.9 кв.м.	2 512 114 руб.
комната	59:01:4410035:1028	г Пермь, ул Куйбышева, д. 7, 110	12.2 кв.м.	501 298 руб.
	59:01:4410035:824	г Пермь, ул Куйбышева, д. 7, 14	89.7 кв.м.	1 793 639 руб.
нежилые помещения	59:01:4410034:581	г Пермь, ул Куйбышева, д. 7	368.3 кв.м.	17 117 413 руб.
 комнаты в -комнатной квартире	59:01:4410034:584	г Пермь, ул Куйбышева, д. 7, 12	55.6 кв.м.	2 098 080 руб.
комната	59:01:4410035:624	г Пермь, ул Куйбышева, д. 7, 81	11.6 кв.м.	631 639 руб.
квартира	59:01:4410035:640	г Пермь, ул Куйбышева, д. 7, 122	19 кв.м.	953 091 руб.
квартира	59:01:4410035:583	г Пермь, ул Куйбышева, д. 7, 74	16.4 кв.м.	845 566 руб.
нежилое помещение	59:01:4410035:542	г Пермь, ул Куйбышева, д. 7	1025.8 кв.м.	29 691 781 руб.
 комнаты	59:01:4410034:630	г Пермь, ул Куйбышева, д. 7, 88,89	32.9 кв.м.	1 241 490 руб.
комната	59:01:4410035:1036	г Пермь, ул Куйбышева, д. 7, 71	16.9 кв.м.	694 422 руб.
квартира	59:01:4410035:598	г Пермь, ул Куйбышева, д. 7, 95	13.2 кв.м.	705 373 руб.
квартира	59:01:4410035:612	г Пермь, ул Куйбышева, д. 7, 26	193.1 кв.м.	4 362 071 руб.
комната в -комнатной квартире	59:01:4410034:591	г Пермь, ул Куйбышева, д. 7, 27	23.1 кв.м.	871 685 руб.
комната	59:01:4410035:1037	г Пермь, ул Куйбышева, д. 7, 73	16.5 кв.м.	677 986 руб.
встроенные помещения	59:01:4410034:623	г Пермь, ул Куйбышева, д. 7	123.1 кв.м.	5 721 297 руб.
нежилое помещение	59:01:4410035:544	г Пермь, ул Куйбышева, д. 7	490.2 кв.м.	14 188 839 руб.
 комнаты в -ти комнатной квартире	59:01:4410034:455	г Пермь, ул Куйбышева, д. 7, 31	78.9 кв.м.	2 528 576 руб.
комната	59:01:4410035:1026	г Пермь, ул Куйбышева, д. 7, 107	14.1 кв.м.	579 370 руб.
 комнаты	59:01:4410034:588	г Пермь, ул Куйбышева, д. 7, 25	48.3 кв.м.	1 822 613 руб.
помещение в комнате 	59:01:4410034:197	г Пермь, ул Куйбышева, д. 7, 57	16.7 кв.м.	61 101 руб.
комната	59:01:0000000:72569	г Пермь, ул Куйбышева, д. 7, 58	15 кв.м.	66 463 руб.
комната	59:01:4410035:1009	г Пермь, ул Куйбышева, д. 7, 1	34.8 кв.м.	1 429 933 руб.
 комнаты с частью вспомогательных помещений	59:01:0000000:70325	г Пермь, ул Куйбышева, д. 7, 29	59.4 кв.м.	263 192 руб.
комната	59:01:4410034:500	г Пермь, ул Куйбышева, д. 7, 5	34.6 кв.м.	1 305 640 руб.
квартира	59:01:4410035:644	г Пермь, ул Куйбышева, д. 7, 8	97 кв.м.	2 964 436 руб.
квартира	59:01:4410035:606	г Пермь, ул Куйбышева, д. 7, 5	107.2 кв.м.	3 144 053 руб.
комната	59:01:4410035:1021	г Пермь, ул Куйбышева, д. 7, 70	16.6 кв.м.	682 095 руб.
комната	59:01:4410035:1046	г Пермь, ул Куйбышева, д. 7, 66	17.5 кв.м.	719 076 руб.
 комната с частью вспомогательных помещений	59:01:4410035:1017	г Пермь, ул Куйбышева, д. 7, 105	11.2 кв.м.	460 208 руб.
квартираб	59:01:4410035:656	г Пермь, ул Куйбышева, д. 7, 103б	21.2 кв.м.	1 040 092 руб.
квартира	59:01:4410035:664	г Пермь, ул Куйбышева, д. 7, 109	8.9 кв.м.	501 010 руб.
квартира	59:01:4410035:556	г Пермь, ул Куйбышева, д. 7, 17	68.4 кв.м.	2 392 824 руб.
трехкомнатная квартира	59:01:4410108:68	г Пермь, пр-кт Комсомольский, д. 32, 35	65 кв.м.	3 127 092 руб.
нежилое помещение	59:01:4410108:315	г Пермь, пр-кт Комсомольский, д. 32	227.9 кв.м.	552 594 руб.
нежилое помещение	59:01:4410108:405	г Пермь, пр-кт Комсомольский, д. 32, 2-7	210.9 кв.м.	511 373 руб.
двухкомнатная квартира	59:01:4410108:75	г Пермь, пр-кт Комсомольский, д. 32, 6	42 кв.м.	2 335 501 руб.
двухкомнатная квартира	59:01:4410108:69	г Пермь, пр-кт Комсомольский, д. 32, 39	42.7 кв.м.	2 310 606 руб.
нежилое помещение	59:01:4410108:339	г Пермь, пр-кт Комсомольский, д. 32, 1001	104 кв.м.	4 217 633 руб.
однокомнатная квартира	59:01:4410108:72	г Пермь, пр-кт Комсомольский, д. 32, 40	32.5 кв.м.	1 944 223 руб.
нежилое здание	59:01:4410108:293	г Пермь, пр-кт Комсомольский, д. 32	0 кв.м.	0 руб.
двухкомнатная квартира	59:01:4410108:97	г Пермь, пр-кт Комсомольский, д. 32, 14	43.8 кв.м.	2 404 581 руб.
двухкомнатная квартира	59:01:4410108:70	г Пермь, пр-кт Комсомольский, д. 32, 4	42.6 кв.м.	2 358 690 руб.
двухкомнатная квартира	59:01:4410108:67	г Пермь, пр-кт Комсомольский, д. 32, 34	44.9 кв.м.	2 446 094 руб.
двухкомнатная квартира	59:01:4410108:62	г Пермь, пр-кт Комсомольский, д. 32, 10	42.3 кв.м.	2 288 049 руб.
однокомнатная квартира	59:01:4410108:91	г Пермь, пр-кт Комсомольский, д. 32, 3	30.1 кв.м.	1 837 211 руб.
двухкомнатная квартира	59:01:4410108:83	г Пермь, пр-кт Комсомольский, д. 32, 22	42.9 кв.м.	2 370 222 руб.
трехкомнатная квартира	59:01:4410108:88	г Пермь, пр-кт Комсомольский, д. 32, 27	65.2 кв.м.	3 133 245 руб.
магазин	59:01:4410108:59	г Пермь, пр-кт Комсомольский, д. 32, б/н1	143.1 кв.м.	7 494 018 руб.
двухкомнатная квартира	59:01:4410108:73	г Пермь, пр-кт Комсомольский, д. 32, 5	45 кв.м.	2 449 842 руб.
двухкомнатная квартира	59:01:4410108:81	г Пермь, пр-кт Комсомольский, д. 32, 9	44.2 кв.м.	2 419 737 руб.
двухкомнатная квартира	59:01:4410108:92	г Пермь, пр-кт Комсомольский, д. 32, 30	44.4 кв.м.	2 427 289 руб.
двухкомнатная квартира	59:01:4410108:61	г Пермь, пр-кт Комсомольский, д. 32, 16	44.4 кв.м.	2 427 289 руб.
двухкомнатная квартира	59:01:4410108:63	г Пермь, пр-кт Комсомольский, д. 32, 32	54.8 кв.м.	2 798 266 руб.
нежилое помещение	59:01:4410108:414	г Пермь, пр-кт Комсомольский, д. 32	148.7 кв.м.	360 556 руб.
двухкомнатная квартира	59:01:4410108:82	г Пермь, пр-кт Комсомольский, д. 32, 21	43.4 кв.м.	2 389 354 руб.
двухкомнатная квартира	59:01:4410108:76	г Пермь, пр-кт Комсомольский, д. 32, 18	44 кв.м.	2 412 168 руб.
однокомнатная квартира	59:01:4410108:94	г Пермь, пр-кт Комсомольский, д. 32, 11	31.2 кв.м.	1 886 715 руб.
двухкомнатная квартира	59:01:4410108:65	г Пермь, пр-кт Комсомольский, д. 32, 33	43.2 кв.м.	2 381 715 руб.
нежилое помещение	59:01:4410108:264	г Пермь, пр-кт Комсомольский, д. 32	74.9 кв.м.	181 612 руб.
нежилое помещение	59:01:4410108:314	г Пермь, пр-кт Комсомольский, д. 32	207 кв.м.	501 917 руб.
трехкомнатная квартира	59:01:4410108:93	г Пермь, пр-кт Комсомольский, д. 32, 31	65.9 кв.м.	3 154 699 руб.
двухкомнатная квартира	59:01:4410108:66	г Пермь, пр-кт Комсомольский, д. 32, 38	45 кв.м.	2 449 842 руб.
двухкомнатная квартира	59:01:4410108:89	г Пермь, пр-кт Комсомольский, д. 32, 28	53.8 кв.м.	2 764 302 руб.
двухкомнатная квартира	59:01:4410108:71	г Пермь, пр-кт Комсомольский, д. 32, 36	55 кв.м.	2 805 018 руб.
электрические сети	59:01:4410108:354	г Пермь, пр-кт Комсомольский, д. 32	0 кв.м.	0 руб.
двухкомнатная квартира	59:01:4410108:80	г Пермь, пр-кт Комсомольский, д. 32, 8	44.1 кв.м.	2 415 955 руб.
встроенные помещения	59:01:4410108:400	г Пермь, пр-кт Комсомольский, д. 32, 34-38	143.1 кв.м.	346 977 руб.
